,region,date,weighted_avg_sars_cov2,suspended_solids_weighted,ammonia_weighted,ophosph_weighted,sample_ph_weighted,control_weighted,reac_vol_control_weighted,raw_ansis_sars_repc_std_weighted,compo_frac_weighted,sars_below_lod_weighted,sars_below_loq_weighted,reception_delay_weighted,regional_popn,avg_r_lower,avg_r_avg,avg_r_upper
294,North East,2020-10-16,6243.339364773764,114.90586776862195,13.037652892551224,2.0584719125205253,7.498117357167869,17633673.266087756,2.0,21.72342155543496,1.0,0.0,0.0,26.10880399449022,114988.83105005922,1.2999999999999998,1.35,1.4
295,North East,2020-10-18,10096.347889678793,123.51051239683412,20.565892561964638,2.458471949405456,7.498117357167869,17633673.266087756,2.0,20.249217080408528,1.0,0.0,0.0,24.657862672176442,114988.83105005922,,,
296,North East,2020-10-19,33039.811306237876,191.31785123929276,36.73533057844513,4.624474405346724,7.498117357167869,17633673.266087756,2.0,21.655758710376297,0.0,1.0,0.0,23.251291735541585,114988.83105005922,,,
297,North East,2020-10-21,14322.464882592685,275.09413223137807,24.603545454515864,3.0584718540380242,7.498117357167869,17633673.266087756,2.0,13.551887613246057,1.0,0.0,0.0,26.70880399449022,114988.83105005922,,,
298,North East,2020-10-23,15730.596653387545,175.28239669413415,26.112958677653666,3.5056479329849686,7.498117357167869,17633673.266087756,2.0,13.195085273317783,1.0,0.49058677686219465,0.0,26.376098209366077,114988.83105005922,1.0999999999999999,1.2000000000000002,1.2999999999999998
299,North East,2020-10-25,20067.31670466215,281.69438016480495,32.829462809823184,4.243300814737404,7.498117357167869,17633673.266087756,2.0,17.492191322010214,0.49058677686219465,0.5094132231378053,0.0,23.420450275483397,114988.83105005922,,,
300,North East,2020-10-26,37502.39186195063,195.8471900824025,23.603545454515857,2.966002408257553,7.498117357167869,17633673.266087756,2.0,13.999644616369585,1.0,1.0,0.0,23.68744903581626,114988.83105005922,,,
301,North East,2020-10-28,31433.385222728703,234.90586776862196,26.62237190079147,3.564119908476569,7.498117357167869,17633673.266087756,2.0,34.600615887208114,1.0,0.5094132231378053,0.0,26.650313774104593,114988.83105005922,,,
302,North East,2020-10-30,54761.26654231278,170.37652892551222,23.075305785102444,3.3528239903343424,7.498117357167869,17633673.266087756,2.0,271.9457797163669,1.0,1.0,0.0,25.102436914590328,114988.83105005922,1.0999999999999999,1.2000000000000002,1.2999999999999998
303,North East,2020-11-01,64758.77944758098,219.8117355372439,26.58471900824025,3.3622372134721474,7.498117357167869,17633673.266087756,2.0,120.12224324314244,1.0,1.0,0.0,25.933647107437928,114988.83105005922,,,
304,North East,2020-11-02,52294.32823196964,189.24694214897556,20.58471900824025,2.7131785609743586,7.498117357167869,17633673.266087756,2.0,113.4650722481334,1.0,0.5094132231378053,0.0,22.941528099175972,114988.83105005922,,,
305,North East,2020-11-04,55261.98758315236,118.97897520633175,23.603545454515857,3.1094131277703734,7.498117357167869,17633673.266087756,2.0,56.31652646369246,1.0,1.0,0.0,24.555925068864063,114988.83105005922,,,
