date,areaCode,region,areaType,newCasesBySpecimenDate,cases_7d_avg
2020-10-18,E12000005,West Midlands,region,1204,1478.5714285714287
2020-10-18,E12000009,South West,region,601,771.4285714285714
2020-10-18,E12000006,East Of England,region,586,677.4285714285714
2020-10-18,E12000004,East Midlands,region,1100,1470.857142857143
2020-10-18,E12000008,South East,region,776,932.4285714285714
2020-10-19,E12000009,South West,region,1164,828.5714285714286
2020-10-19,E12000001,North East,region,1420,1151.4285714285713
2020-10-19,E12000002,North West,region,6226,4306.285714285715
2020-10-19,E12000005,West Midlands,region,2230,1578.857142857143
2020-10-19,E12000008,South East,region,1425,1010.8571428571429
2020-10-19,E12000006,East Of England,region,1054,726.4285714285714
2020-10-19,E12000004,East Midlands,region,2410,1558.4285714285713
2020-10-19,E12000007,London,region,2359,1612.4285714285713
2020-10-19,E12000003,Yorkshire And The Humber,region,3918,2714.714285714286
2020-10-20,E12000003,Yorkshire And The Humber,region,3677,2870.5714285714284
2020-10-20,E12000004,East Midlands,region,2145,1637.0
2020-10-20,E12000006,East Of England,region,1106,779.4285714285714
2020-10-20,E12000001,North East,region,1456,1171.5714285714287
2020-10-20,E12000007,London,region,2336,1740.4285714285713
2020-10-20,E12000005,West Midlands,region,2312,1693.5714285714287
2020-10-20,E12000002,North West,region,5694,4499.857142857143
2020-10-20,E12000009,South West,region,1170,856.0
2020-10-20,E12000008,South East,region,1629,1094.2857142857142
2020-10-21,E12000008,South East,region,1663,1176.142857142857
2020-10-21,E12000005,West Midlands,region,2258,1787.857142857143
2020-10-21,E12000001,North East,region,1514,1186.2857142857142
2020-10-21,E12000007,London,region,2376,1845.857142857143
2020-10-21,E12000009,South West,region,1395,929.7142857142857
2020-10-21,E12000004,East Midlands,region,2149,1683.4285714285713
2020-10-21,E12000002,North West,region,5616,4656.571428571428
2020-10-21,E12000003,Yorkshire And The Humber,region,3595,2981.5714285714284
2020-10-21,E12000006,East Of England,region,1055,832.4285714285714
2020-10-22,E12000005,West Midlands,region,2136,1863.0
2020-10-22,E12000007,London,region,2200,1911.5714285714287
2020-10-22,E12000004,East Midlands,region,2151,1783.7142857142858
2020-10-22,E12000006,East Of England,region,1002,853.8571428571429
2020-10-22,E12000002,North West,region,4860,4748.428571428572
2020-10-22,E12000003,Yorkshire And The Humber,region,3358,3094.8571428571427
2020-10-22,E12000009,South West,region,1309,1017.4285714285714
2020-10-22,E12000008,South East,region,1453,1243.857142857143
2020-10-22,E12000001,North East,region,1238,1195.0
2020-10-23,E12000002,North West,region,4538,4832.285714285715
2020-10-23,E12000006,East Of England,region,1007,903.1428571428571
2020-10-23,E12000003,Yorkshire And The Humber,region,3033,3172.714285714286
2020-10-23,E12000004,East Midlands,region,1861,1862.2857142857142
2020-10-23,E12000007,London,region,2043,1962.7142857142858
2020-10-23,E12000001,North East,region,1050,1189.5714285714287
2020-10-23,E12000009,South West,region,1169,1067.7142857142858
